equipment_port,equipment_id,process_time,allocate_rule,equipment_status
c3_24,c3,10.0,,1
c3_25,c3,10.0,,1
c3_26,c3,10.0,,1
c3_27,c3,10.0,,1
c3_28,c3,10.0,,1
c3_29,c3,10.0,,1
c3_30,c3,10.0,,1
c3_31,c3,10.0,,1
c3_32,c3,10.0,,1
c3_33,c3,10.0,,1
c3_34,c3,10.0,,1
c3_35,c3,10.0,,1
c3_36,c3,10.0,,1
c3_37,c3,10.0,,1
c3_38,c3,10.0,,1
c3_39,c3,10.0,,1
c3_40,c3,10.0,,1
c3_41,c3,10.0,,1
c3_42,c3,10.0,,0
c3_43,c3,10.0,,1
c3_44,c3,10.0,,0
c3_45,c3,10.0,,1
c3_46,c3,10.0,,0
c3_47,c3,10.0,,0
c3_48,c3,10.0,,1
c3_49,c3,10.0,,0
c3_50,c3,10.0,,1
c4_1,c4,10.0,,0
c4_2,c4,10.0,,0
c4_3,c4,10.0,,0
c4_4,c4,10.0,,0
c4_5,c4,10.0,,1
c4_6,c4,10.0,,1
c4_7,c4,10.0,,1
c4_8,c4,10.0,,1
c4_9,c4,10.0,,1
c4_10,c4,10.0,,1
c4_11,c4,10.0,,1
c4_12,c4,10.0,,1
c4_13,c4,10.0,,0
c4_14,c4,10.0,,1
c4_15,c4,10.0,,1
c4_16,c4,10.0,,0
c4_17,c4,10.0,,0
c4_18,c4,10.0,,1
c4_19,c4,10.0,,1
c4_20,c4,10.0,,0
c4_21,c4,10.0,,1
c4_22,c4,10.0,,1
c4_23,c4,10.0,,1
c4_24,c4,10.0,,0
c4_25,c4,10.0,,1
c5_1,c5,55.0,,1
c5_2,c5,55.0,,1
c5_3,c5,55.0,,1
c5_4,c5,55.0,,1
c5_5,c5,55.0,,1
c5_6,c5,55.0,,1
c5_7,c5,55.0,,1
c5_8,c5,55.0,,1
c5_9,c5,55.0,,1
c5_10,c5,55.0,,1
c5_11,c5,55.0,,1
c5_12,c5,55.0,,1
c5_13,c5,55.0,,1
c5_14,c5,55.0,,1
c5_15,c5,55.0,,1
c5_16,c5,55.0,,1
c5_17,c5,55.0,,1
c5_18,c5,55.0,,1
c5_19,c5,55.0,,1
c5_20,c5,55.0,,1
c5_21,c5,55.0,,1
c5_22,c5,55.0,,1
c5_23,c5,55.0,,1
c5_24,c5,55.0,,1
c5_25,c5,55.0,,1
c5_26,c5,55.0,,1
c5_27,c5,55.0,,1
c5_28,c5,55.0,,1
c5_29,c5,55.0,,1
c5_30,c5,55.0,,1
c5_31,c5,55.0,,1
c5_32,c5,55.0,,1
c5_33,c5,55.0,,1
c5_34,c5,55.0,,1
c5_35,c5,55.0,,1
c5_36,c5,55.0,,1
c5_37,c5,55.0,,1
c5_38,c5,55.0,,1
c5_39,c5,55.0,,1
c5_40,c5,55.0,,1
c5_41,c5,55.0,,1
c5_42,c5,55.0,,1
c5_43,c5,55.0,,1
c5_44,c5,55.0,,1
c5_45,c5,55.0,,1
c5_46,c5,55.0,,1
c5_47,c5,55.0,,1
c5_48,c5,55.0,,1
c5_49,c5,55.0,,1
c5_50,c5,55.0,,1
c5_51,c5,55.0,,1
c5_52,c5,55.0,,1
c5_53,c5,55.0,,1
