equipment_port,equipment_id,dest_code,dest_type,Unnamed: 4,Unnamed: 5
c5_66,c5,8910,A,,
c5_67,c5,8170,A,,
c5_68,c5,8320,A,,
c5_69,c5,8330,A,,
c5_70,c5,023,A,,
c5_71,c5,028,A,,
c5_72,c5,532,A,,
c5_73,c5,536,A,,
c5_74,c5,539,A,,
c5_75,c5,5330,A,,
c5_76,c5,632,A,,
c5_77,c5,633,A,,
c5_78,c5,546,A,,
c5_79,c5,7440,A,,
c5_80,c5,734,A,,
c5_81,c5,7300,A,,
c5_82,c5,7311,A,,
c5_83,c5,73120,A,,
c5_84,c5,591,A,,
c5_85,c5,592,A,,
c5_86,c5,599,A,,
c5_87,c5,598,A,,
c5_88,c5,593,A,,
c5_89,c5,596,A,,
c5_90,c5,594,A,,
c5_91,c5,595,A,,
c5_92,c5,531,A,,
c5_93,c5,5300,A,,
c5_94,c5,537,A,,
c5_95,c5,5340,A,,
c5_96,c5,631,A,,
c5_97,c5,535,A,,
c5_98,c5,027,A,,
c5_99,c5,718,A,,
c5_100,c5,7120,A,,
c5_101,c5,717,A,,
c5_102,c5,710,A,,
c5_103,c5,7130,A,,
c5_104,c5,7160,A,,
c6_1,c6,59101,A,,L
c6_2,c6,59201,A,,L
c6_3,c6,59401,A,,L
c6_4,c6,59501,A,,L
c6_5,c6,59301,A,,L
c6_6,c6,580,A,,L
c6_7,c6,576,A,,L
c6_8,c6,021,A,,L
c6_9,c6,025,A,,L
c6_10,c6,573,A,,L
c6_11,c6,515,A,,L
c6_12,c6,572,A,,L
c6_13,c6,510,A,,L
c6_14,c6,5170,A,,L
c6_15,c6,523,A,,L
c6_16,c6,570,A,,L
c6_17,c6,578,A,,L
c6_18,c6,519,A,,L
c6_19,c6,516,A,,L
c6_20,c6,513,A,,L
c6_21,c6,514,A,,L
c6_22,c6,511,A,,L
c6_23,c6,518,A,,L
c6_24,c6,793,A,,L
c6_25,c6,791,A,,L
c6_26,c6,798,A,,L
c6_27,c6,794,A,,L
c6_28,c6,792,A,,L
c6_29,c6,795,A,,L
c6_30,c6,701,A,,L
c6_31,c6,799,A,,L
c6_32,c6,796,A,,L
c6_33,c6,797,A,,L
c6_34,c6,790,A,,L
c6_35,c6,563,A,,L
c6_36,c6,559,A,,L
c6_37,c6,553,A,,L
c6_38,c6,5520,A,,L
c6_39,c6,5560,A,,L
c6_40,c6,550,A,,L
c6_41,c6,571XA,A,,L
c6_42,c6,512W,A,,L
c6_43,c6,566,A,,L
c6_44,c6,562,A,,L
c6_45,c6,555,A,,L
c6_46,c6,551,A,,L
c6_47,c6,579WA,A,,L
c6_48,c6,579WB,A,,L
c6_49,c6,512WB,A,,L
c6_50,c6,512WA,A,,L
c6_51,c6,512WC,A,,L
c6_52,c6,571,A,,L
c6_53,c6,976,A,,
c6_54,c6,3520,A,,
c6_55,c6,479,A,,
c6_56,c6,474,A,,
c6_57,c6,477,A,,
c6_58,c6,852,A,,
c6_59,c6,898,A,,
c6_60,c6,8981,A,,
c6_61,c6,471,A,,
c6_62,c6,951,A,,
c6_63,c6,9520,A,,
c6_64,c6,575W,A,,L
c6_65,c6,575WA,A,,L
c6_66,c6,575D,A,,L
c6_67,c6,575K,A,,L
c6_68,c6,575EC,A,,L
c6_69,c6,577,A,,L
c6_70,c6,574W,A,,L
c6_71,c6,574WA,A,,L
c6_72,c6,532,A,,
c6_73,c6,536,A,,
c6_74,c6,539,A,,
c6_75,c6,5330,A,,
c6_76,c6,632,A,,
c6_77,c6,633,A,,
c6_78,c6,546,A,,
c6_79,c6,7440,A,,
c6_80,c6,734,A,,
c6_81,c6,7300,A,,
c6_82,c6,7311,A,,
c6_83,c6,73120,A,,
c6_84,c6,591,A,,
c6_85,c6,592,A,,
c6_86,c6,599,A,,
c6_87,c6,598,A,,
c6_88,c6,593,A,,
c6_89,c6,596,A,,
c6_90,c6,594,A,,
c6_91,c6,595,A,,
c6_92,c6,531,A,,
c6_93,c6,5300,A,,
c6_94,c6,537,A,,
c6_95,c6,5340,A,,
c6_96,c6,631,A,,
c6_97,c6,535,A,,
c6_98,c6,027,A,,
c6_99,c6,718,A,,
c6_100,c6,7120,A,,
c6_101,c6,717,A,,
c6_102,c6,710,A,,
c6_103,c6,7130,A,,
c6_104,c6,7160,A,,
c7_1,c7,752,A,,
c7_2,c7,755,A,,
c7_3,c7,757,A,,
c7_4,c7,7580,A,,
c7_5,c7,754,A,,
c7_6,c7,663,A,,
c7_7,c7,769,A,,
c7_8,c7,471,A,,
c7_9,c7,951,A,,
c7_10,c7,9520,A,,
c7_11,c7,9940,A,,
c7_12,c7,9930,A,,
c7_13,c7,9900,A,,
c7_14,c7,871,A,,
c7_15,c7,872,A,,
c7_16,c7,8730,A,,
c7_17,c7,8740,A,,
c7_18,c7,931,A,,
c7_19,c7,9320,A,,
c7_20,c7,9710,A,,
c7_21,c7,9340,A,,
c7_22,c7,851,A,,
c7_23,c7,8580,A,,
c7_24,c7,8550,A,,
c7_25,c7,8540,A,,
c7_26,c7,052,A,,
c7_27,c7,029,A,,
c7_28,c7,9150,A,,
c7_29,c7,010,A,,
c7_30,c7,022,A,,
c7_31,c7,316,A,,
c7_32,c7,315,A,,
c7_33,c7,317,A,,
c7_34,c7,451,A,,
c7_35,c7,4540,A,,
c7_36,c7,024,A,,
c7_37,c7,4120,A,,
c7_38,c7,4270,A,,
c7_39,c7,431,A,,
c7_40,c7,4340,A,,
