resource_id,resource_name,resource_limit,capacity_per_resource,resource_on_number,resource_number,inserted_on,modified_on
man_u2_2,u2人力2,1.0,1.0,1.0,1.0,,
man_u2_3,u2人力3,1.0,1.0,1.0,1.0,,
man_u2_4,u2人力4,0.0,1.0,0.0,1.0,,
man_u2_5,u2人力5,0.0,1.0,0.0,1.0,,
man_u2_6,u2人力6,0.0,1.0,0.0,1.0,,
man_u2_7,u2人力7,0.0,1.0,0.0,1.0,,
man_u3_1,u3人力1,1.0,1.0,1.0,1.0,,
man_u3_2,u3人力2,1.0,1.0,1.0,1.0,,
man_u3_3,u3人力3,1.0,1.0,1.0,1.0,,
man_u3_4,u3人力4,0.0,1.0,0.0,1.0,,
man_u3_5,u3人力5,0.0,1.0,0.0,1.0,,
man_u3_6,u3人力6,0.0,1.0,0.0,1.0,,
man_u3_7,u3人力7,0.0,1.0,0.0,1.0,,
man_u4_1,u4人力1,1.0,1.0,1.0,1.0,,
man_u4_2,u4人力2,1.0,1.0,1.0,1.0,,
man_u4_3,u4人力3,1.0,1.0,1.0,1.0,,
man_u4_4,u4人力4,0.0,1.0,0.0,1.0,,
man_u4_5,u4人力5,0.0,1.0,0.0,1.0,,
man_u4_6,u4人力6,0.0,1.0,0.0,1.0,,
man_u4_7,u4人力7,0.0,1.0,0.0,1.0,,
man_u5_1,u5人力1,1.0,1.0,1.0,1.0,,
man_u5_2,u5人力2,1.0,1.0,1.0,1.0,,
man_u5_3,u5人力3,1.0,1.0,1.0,1.0,,
man_u5_4,u5人力4,0.0,1.0,0.0,1.0,,
man_u5_5,u5人力5,0.0,1.0,0.0,1.0,,
man_u5_6,u5人力6,0.0,1.0,0.0,1.0,,
man_u5_7,u5人力7,0.0,1.0,0.0,1.0,,
man_u6_1,u6人力1,1.0,1.0,1.0,1.0,,
man_u6_2,u6人力2,1.0,1.0,1.0,1.0,,
man_u6_3,u6人力3,1.0,1.0,1.0,1.0,,
man_u6_4,u6人力4,0.0,1.0,0.0,1.0,,
man_u6_5,u6人力5,0.0,1.0,0.0,1.0,,
man_u6_6,u6人力6,0.0,1.0,0.0,1.0,,
man_u6_7,u6人力7,0.0,1.0,0.0,1.0,,
man_u7_1,u7人力1,1.0,1.0,1.0,1.0,,
man_u7_2,u7人力2,1.0,1.0,1.0,1.0,,
man_u7_3,u7人力3,1.0,1.0,1.0,1.0,,
man_u7_4,u7人力4,0.0,1.0,0.0,1.0,,
man_u7_5,u7人力5,0.0,1.0,0.0,1.0,,
man_u7_6,u7人力6,0.0,1.0,0.0,1.0,,
man_u7_7,u7人力7,0.0,1.0,0.0,1.0,,
man_u8_1,u8人力1,1.0,1.0,1.0,1.0,,
man_u8_2,u8人力2,1.0,1.0,1.0,1.0,,
man_u8_3,u8人力3,1.0,1.0,1.0,1.0,,
man_u8_4,u8人力4,0.0,1.0,0.0,1.0,,
man_u8_5,u8人力5,0.0,1.0,0.0,1.0,,
man_u8_6,u8人力6,0.0,1.0,0.0,1.0,,
man_u8_7,u8人力7,0.0,1.0,0.0,1.0,,
man_x6_1,x6人力1,1.0,1.0,1.0,1.0,,
man_x7_1,x7人力1,1.0,1.0,1.0,1.0,,
ms_1,MS1小车环线,303.0,1.0,303.0,303.0,,
ms_2,MS2小车环线,303.0,1.0,303.0,303.0,,
ms_3,MS3小车环线,303.0,1.0,303.0,303.0,,
ms_4,MS4小车环线,303.0,1.0,303.0,303.0,,
