pipeline_id,package_id,time_stamp,action
"('r1_2', 'm1_1')",387800,7105.770000000002,end
"('r1_2', 'm1_1')",387801,7069.200000000003,start
"('r1_2', 'm1_1')",387801,7110.570000000002,end
"('r1_2', 'm1_1')",387802,7069.200000000003,start
"('r1_2', 'm1_1')",387802,7110.570000000002,end
"('r1_2', 'm1_1')",387803,7074.000000000003,start
"('r1_2', 'm1_1')",387803,7115.370000000003,end
"('r1_2', 'm1_1')",387804,7074.000000000003,start
"('r1_2', 'm1_1')",387804,7115.370000000003,end
"('r1_2', 'm1_1')",387805,7078.800000000003,start
"('r1_2', 'm1_1')",387805,7120.170000000003,end
"('r1_2', 'm1_1')",387806,7078.800000000003,start
"('r1_2', 'm1_1')",387806,7120.170000000003,end
"('r1_2', 'm1_1')",387807,7083.600000000003,start
"('r1_2', 'm1_1')",387807,7124.970000000003,end
"('r1_2', 'm1_1')",387808,7083.600000000003,start
"('r1_2', 'm1_1')",387808,7124.970000000003,end
"('r1_2', 'm1_1')",387809,7088.400000000003,start
"('r1_2', 'm1_1')",387809,7129.770000000003,end
"('r1_2', 'm1_1')",388334,7088.400000000003,start
"('r1_2', 'm1_1')",388334,7129.770000000003,end
"('r1_2', 'm1_1')",388335,7093.2000000000035,start
"('r1_2', 'm1_1')",388335,7134.570000000003,end
"('r1_2', 'm1_1')",388847,7093.2000000000035,start
"('r1_2', 'm1_1')",388847,7134.570000000003,end
"('r1_2', 'm1_1')",388848,7098.000000000004,start
"('r1_2', 'm1_1')",388848,7139.3700000000035,end
"('r1_2', 'm1_1')",388849,7098.000000000004,start
"('r1_2', 'm1_1')",388849,7139.3700000000035,end
"('r1_2', 'm1_1')",388850,7102.800000000004,start
"('r1_2', 'm1_1')",388850,7144.170000000004,end
"('r1_2', 'm1_1')",388851,7102.800000000004,start
"('r1_2', 'm1_1')",388851,7144.170000000004,end
"('r1_2', 'm1_1')",388852,7107.600000000004,start
"('r1_2', 'm1_1')",388852,7148.970000000004,end
"('r1_2', 'm1_1')",388853,7107.600000000004,start
"('r1_2', 'm1_1')",388853,7148.970000000004,end
"('r1_2', 'm1_1')",388854,7112.400000000004,start
"('r1_2', 'm1_1')",388854,7153.770000000004,end
"('r1_2', 'm1_1')",388855,7112.400000000004,start
"('r1_2', 'm1_1')",388855,7153.770000000004,end
"('r1_2', 'm1_1')",388856,7117.200000000004,start
"('r1_2', 'm1_1')",388856,7158.570000000004,end
"('r1_2', 'm1_1')",388857,7117.200000000004,start
"('r1_2', 'm1_1')",388857,7158.570000000004,end
"('r1_2', 'm1_1')",388858,7122.000000000005,start
"('r1_2', 'm1_1')",388858,7163.370000000004,end
"('r1_2', 'm1_1')",388859,7122.000000000005,start
"('r1_2', 'm1_1')",388859,7163.370000000004,end
"('r1_2', 'm1_1')",388860,7126.800000000005,start
"('r1_2', 'm1_1')",388860,7168.170000000005,end
"('r1_2', 'm1_1')",388861,7126.800000000005,start
"('r1_2', 'm1_1')",388861,7168.170000000005,end
"('r1_2', 'm1_1')",388862,7131.600000000005,start
"('r1_2', 'm1_1')",388862,7172.970000000005,end
"('r1_2', 'm1_1')",388863,7131.600000000005,start
"('r1_2', 'm1_1')",388863,7172.970000000005,end
