equipment_id,parcel_id,small_id,parcel_type,time_stamp,action,real_time_stamp,run_time
m3_1,101403,101403,parcel,4174.04,start,2017-07-25 22:09:34.040,2017-08-29 10:01:50.972091
m3_1,101403,101403,parcel,4177.04,end,2017-07-25 22:09:37.040,2017-08-29 10:01:50.972091
j23_1,101403,101403,parcel,4489.17,wait,2017-07-25 22:14:49.170,2017-08-29 10:01:50.972091
j23_1,101403,101403,parcel,4489.17,start,2017-07-25 22:14:49.170,2017-08-29 10:01:50.972091
j23_1,101403,101403,parcel,4493.935,end,2017-07-25 22:14:53.935,2017-08-29 10:01:50.972091
i17_1,101403,101403,parcel,4666.195000000001,wait,2017-07-25 22:17:46.195,2017-08-29 10:01:50.972091
i17_1,101403,101403,parcel,4666.195000000001,start,2017-07-25 22:17:46.195,2017-08-29 10:01:50.972091
i17_1,101403,101403,parcel,4666.515,end,2017-07-25 22:17:46.515,2017-08-29 10:01:50.972091
c16_25,101403,101403,parcel,4820.475,wait,2017-07-25 22:20:20.475,2017-08-29 10:01:50.972091
r5_1,1000,1000,parcel,10922.0,wait,2017-07-26 00:02:02.000,2017-08-29 10:01:50.972091
r5_1,1000,1000,parcel,10922.0,start,2017-07-26 00:02:02.000,2017-08-29 10:01:50.972091
r5_1,1000,1000,parcel,10925.13,end,2017-07-26 00:02:05.130,2017-08-29 10:01:50.972091
m3_1,1000,1000,parcel,10983.039999999999,wait,2017-07-26 00:03:03.040,2017-08-29 10:01:50.972091
m3_1,1000,1000,parcel,10983.039999999999,start,2017-07-26 00:03:03.040,2017-08-29 10:01:50.972091
m3_1,1000,1000,parcel,10986.039999999999,end,2017-07-26 00:03:06.040,2017-08-29 10:01:50.972091
j23_1,1000,1000,parcel,11298.169999999998,wait,2017-07-26 00:08:18.170,2017-08-29 10:01:50.972091
j23_1,1000,1000,parcel,11298.169999999998,start,2017-07-26 00:08:18.170,2017-08-29 10:01:50.972091
j23_1,1000,1000,parcel,11302.934999999998,end,2017-07-26 00:08:22.935,2017-08-29 10:01:50.972091
i17_1,1000,1000,parcel,11475.194999999998,wait,2017-07-26 00:11:15.195,2017-08-29 10:01:50.972091
i17_1,1000,1000,parcel,11475.194999999998,start,2017-07-26 00:11:15.195,2017-08-29 10:01:50.972091
i17_1,1000,1000,parcel,11475.514999999998,end,2017-07-26 00:11:15.515,2017-08-29 10:01:50.972091
c16_25,1000,1000,parcel,11629.474999999997,wait,2017-07-26 00:13:49.475,2017-08-29 10:01:50.972091
r5_1,100587,100587,parcel,2481.0,wait,2017-07-25 21:41:21.000,2017-08-29 10:01:50.972091
r5_1,100587,100587,parcel,2515.430000000001,start,2017-07-25 21:41:55.430,2017-08-29 10:01:50.972091
r5_1,100587,100587,parcel,2518.5600000000013,end,2017-07-25 21:41:58.560,2017-08-29 10:01:50.972091
m3_1,100587,100587,parcel,2576.470000000001,wait,2017-07-25 21:42:56.470,2017-08-29 10:01:50.972091
m3_1,100587,100587,parcel,2576.470000000001,start,2017-07-25 21:42:56.470,2017-08-29 10:01:50.972091
m3_1,100587,100587,parcel,2579.470000000001,end,2017-07-25 21:42:59.470,2017-08-29 10:01:50.972091
j21_1,100587,100587,parcel,2792.510000000001,wait,2017-07-25 21:46:32.510,2017-08-29 10:01:50.972091
j21_1,100587,100587,parcel,2792.510000000001,start,2017-07-25 21:46:32.510,2017-08-29 10:01:50.972091
j21_1,100587,100587,parcel,2797.275000000001,end,2017-07-25 21:46:37.275,2017-08-29 10:01:50.972091
i17_1,100587,100587,parcel,2969.5350000000008,wait,2017-07-25 21:49:29.535,2017-08-29 10:01:50.972091
i17_1,100587,100587,parcel,2969.5350000000008,start,2017-07-25 21:49:29.535,2017-08-29 10:01:50.972091
i17_1,100587,100587,parcel,2969.855000000001,end,2017-07-25 21:49:29.855,2017-08-29 10:01:50.972091
c16_4,100587,100587,parcel,3123.815000000001,wait,2017-07-25 21:52:03.815,2017-08-29 10:01:50.972091
r5_1,100211,100211,parcel,11207.0,wait,2017-07-26 00:06:47.000,2017-08-29 10:01:50.972091
r5_1,100211,100211,parcel,11222.649999999996,start,2017-07-26 00:07:02.650,2017-08-29 10:01:50.972091
r5_1,100211,100211,parcel,11225.779999999995,end,2017-07-26 00:07:05.780,2017-08-29 10:01:50.972091
m3_1,100211,100211,parcel,11283.689999999995,wait,2017-07-26 00:08:03.690,2017-08-29 10:01:50.972091
m3_1,100211,100211,parcel,11283.689999999995,start,2017-07-26 00:08:03.690,2017-08-29 10:01:50.972091
m3_1,100211,100211,parcel,11286.689999999995,end,2017-07-26 00:08:06.690,2017-08-29 10:01:50.972091
j21_1,100211,100211,parcel,11499.729999999996,wait,2017-07-26 00:11:39.730,2017-08-29 10:01:50.972091
j21_1,100211,100211,parcel,11499.729999999996,start,2017-07-26 00:11:39.730,2017-08-29 10:01:50.972091
j21_1,100211,100211,parcel,11504.494999999995,end,2017-07-26 00:11:44.495,2017-08-29 10:01:50.972091
i17_1,100211,100211,parcel,11676.754999999996,wait,2017-07-26 00:14:36.755,2017-08-29 10:01:50.972091
i17_1,100211,100211,parcel,11676.754999999996,start,2017-07-26 00:14:36.755,2017-08-29 10:01:50.972091
i17_1,100211,100211,parcel,11677.074999999995,end,2017-07-26 00:14:37.075,2017-08-29 10:01:50.972091
c17_10,100211,100211,parcel,11791.274999999996,wait,2017-07-26 00:16:31.275,2017-08-29 10:01:50.972091
r5_1,100246,100246,parcel,11207.0,wait,2017-07-26 00:06:47.000,2017-08-29 10:01:50.972091
r5_1,100246,100246,parcel,11247.68999999999,start,2017-07-26 00:07:27.690,2017-08-29 10:01:50.972091
r5_1,100246,100246,parcel,11250.819999999989,end,2017-07-26 00:07:30.820,2017-08-29 10:01:50.972091
m3_1,100246,100246,parcel,11308.729999999989,wait,2017-07-26 00:08:28.730,2017-08-29 10:01:50.972091
m3_1,100246,100246,parcel,11308.729999999989,start,2017-07-26 00:08:28.730,2017-08-29 10:01:50.972091
m3_1,100246,100246,parcel,11311.729999999989,end,2017-07-26 00:08:31.730,2017-08-29 10:01:50.972091
j21_1,100246,100246,parcel,11623.859999999988,wait,2017-07-26 00:13:43.860,2017-08-29 10:01:50.972091
j21_1,100246,100246,parcel,11623.859999999988,start,2017-07-26 00:13:43.860,2017-08-29 10:01:50.972091
j21_1,100246,100246,parcel,11628.624999999987,end,2017-07-26 00:13:48.625,2017-08-29 10:01:50.972091
i17_1,100246,100246,parcel,11800.884999999987,wait,2017-07-26 00:16:40.885,2017-08-29 10:01:50.972091
i17_1,100246,100246,parcel,11800.884999999987,start,2017-07-26 00:16:40.885,2017-08-29 10:01:50.972091
i17_1,100246,100246,parcel,11801.204999999987,end,2017-07-26 00:16:41.205,2017-08-29 10:01:50.972091
c17_10,100246,100246,parcel,11915.404999999988,wait,2017-07-26 00:18:35.405,2017-08-29 10:01:50.972091
r5_1,100264,100264,parcel,8665.0,wait,2017-07-25 23:24:25.000,2017-08-29 10:01:50.972091
r5_1,100264,100264,parcel,8680.649999999996,start,2017-07-25 23:24:40.650,2017-08-29 10:01:50.972091
r5_1,100264,100264,parcel,8683.779999999995,end,2017-07-25 23:24:43.780,2017-08-29 10:01:50.972091
m3_1,100264,100264,parcel,8741.689999999995,wait,2017-07-25 23:25:41.690,2017-08-29 10:01:50.972091
m3_1,100264,100264,parcel,8741.689999999995,start,2017-07-25 23:25:41.690,2017-08-29 10:01:50.972091
m3_1,100264,100264,parcel,8744.689999999995,end,2017-07-25 23:25:44.690,2017-08-29 10:01:50.972091
j19_1,100264,100264,parcel,9056.819999999994,wait,2017-07-25 23:30:56.820,2017-08-29 10:01:50.972091
j19_1,100264,100264,parcel,9056.819999999994,start,2017-07-25 23:30:56.820,2017-08-29 10:01:50.972091
j19_1,100264,100264,parcel,9061.584999999994,end,2017-07-25 23:31:01.585,2017-08-29 10:01:50.972091
i17_1,100264,100264,parcel,9233.844999999994,wait,2017-07-25 23:33:53.845,2017-08-29 10:01:50.972091
i17_1,100264,100264,parcel,9233.844999999994,start,2017-07-25 23:33:53.845,2017-08-29 10:01:50.972091
i17_1,100264,100264,parcel,9234.164999999994,end,2017-07-25 23:33:54.165,2017-08-29 10:01:50.972091
c17_12,100264,100264,parcel,9348.364999999994,wait,2017-07-25 23:35:48.365,2017-08-29 10:01:50.972091
r5_1,101136,101136,parcel,2481.0,wait,2017-07-25 21:41:21.000,2017-08-29 10:01:50.972091
r5_1,101136,101136,parcel,2531.0800000000017,start,2017-07-25 21:42:11.080,2017-08-29 10:01:50.972091
r5_1,101136,101136,parcel,2534.210000000002,end,2017-07-25 21:42:14.210,2017-08-29 10:01:50.972091
m3_1,101136,101136,parcel,2592.1200000000017,wait,2017-07-25 21:43:12.120,2017-08-29 10:01:50.972091
m3_1,101136,101136,parcel,2592.1200000000017,start,2017-07-25 21:43:12.120,2017-08-29 10:01:50.972091
m3_1,101136,101136,parcel,2595.1200000000017,end,2017-07-25 21:43:15.120,2017-08-29 10:01:50.972091
j23_1,101136,101136,parcel,2907.250000000002,wait,2017-07-25 21:48:27.250,2017-08-29 10:01:50.972091
j23_1,101136,101136,parcel,2907.250000000002,start,2017-07-25 21:48:27.250,2017-08-29 10:01:50.972091
j23_1,101136,101136,parcel,2912.0150000000017,end,2017-07-25 21:48:32.015,2017-08-29 10:01:50.972091
i17_1,101136,101136,parcel,3084.2750000000015,wait,2017-07-25 21:51:24.275,2017-08-29 10:01:50.972091
i17_1,101136,101136,parcel,3084.2750000000015,start,2017-07-25 21:51:24.275,2017-08-29 10:01:50.972091
i17_1,101136,101136,parcel,3084.5950000000016,end,2017-07-25 21:51:24.595,2017-08-29 10:01:50.972091
c17_17,101136,101136,parcel,3198.7950000000014,wait,2017-07-25 21:53:18.795,2017-08-29 10:01:50.972091
r5_1,1002,1002,parcel,17057.0,wait,2017-07-26 01:44:17.000,2017-08-29 10:01:50.972091
r5_1,1002,1002,parcel,17063.260000000002,start,2017-07-26 01:44:23.260,2017-08-29 10:01:50.972091
r5_1,1002,1002,parcel,17066.390000000003,end,2017-07-26 01:44:26.390,2017-08-29 10:01:50.972091
m3_1,1002,1002,parcel,17124.300000000003,wait,2017-07-26 01:45:24.300,2017-08-29 10:01:50.972091
m3_1,1002,1002,parcel,17124.300000000003,start,2017-07-26 01:45:24.300,2017-08-29 10:01:50.972091
m3_1,1002,1002,parcel,17127.300000000003,end,2017-07-26 01:45:27.300,2017-08-29 10:01:50.972091
j19_1,1002,1002,parcel,17340.340000000004,wait,2017-07-26 01:49:00.340,2017-08-29 10:01:50.972091
j19_1,1002,1002,parcel,17340.340000000004,start,2017-07-26 01:49:00.340,2017-08-29 10:01:50.972091
j19_1,1002,1002,parcel,17345.105000000003,end,2017-07-26 01:49:05.105,2017-08-29 10:01:50.972091
i17_1,1002,1002,parcel,17517.365,wait,2017-07-26 01:51:57.365,2017-08-29 10:01:50.972091
i17_1,1002,1002,parcel,17517.365,start,2017-07-26 01:51:57.365,2017-08-29 10:01:50.972091
i17_1,1002,1002,parcel,17517.685,end,2017-07-26 01:51:57.685,2017-08-29 10:01:50.972091
c17_17,1002,1002,parcel,17631.885000000002,wait,2017-07-26 01:53:51.885,2017-08-29 10:01:50.972091
r5_1,101255,101255,parcel,17057.0,wait,2017-07-26 01:44:17.000,2017-08-29 10:01:50.972091
r5_1,101255,101255,parcel,17075.780000000006,start,2017-07-26 01:44:35.780,2017-08-29 10:01:50.972091
r5_1,101255,101255,parcel,17078.910000000007,end,2017-07-26 01:44:38.910,2017-08-29 10:01:50.972091
m3_1,101255,101255,parcel,17136.820000000007,wait,2017-07-26 01:45:36.820,2017-08-29 10:01:50.972091
m3_1,101255,101255,parcel,17136.820000000007,start,2017-07-26 01:45:36.820,2017-08-29 10:01:50.972091
m3_1,101255,101255,parcel,17139.820000000007,end,2017-07-26 01:45:39.820,2017-08-29 10:01:50.972091
j19_1,101255,101255,parcel,17451.950000000008,wait,2017-07-26 01:50:51.950,2017-08-29 10:01:50.972091
j19_1,101255,101255,parcel,17451.950000000008,start,2017-07-26 01:50:51.950,2017-08-29 10:01:50.972091
j19_1,101255,101255,parcel,17456.715000000007,end,2017-07-26 01:50:56.715,2017-08-29 10:01:50.972091
i17_1,101255,101255,parcel,17628.975000000006,wait,2017-07-26 01:53:48.975,2017-08-29 10:01:50.972091
i17_1,101255,101255,parcel,17628.975000000006,start,2017-07-26 01:53:48.975,2017-08-29 10:01:50.972091
i17_1,101255,101255,parcel,17629.295000000006,end,2017-07-26 01:53:49.295,2017-08-29 10:01:50.972091
c17_21,101255,101255,parcel,17743.495000000006,wait,2017-07-26 01:55:43.495,2017-08-29 10:01:50.972091
r5_1,100542,100542,parcel,17597.0,wait,2017-07-26 01:53:17.000,2017-08-29 10:01:50.972091
r5_1,100542,100542,parcel,17662.73000000002,start,2017-07-26 01:54:22.730,2017-08-29 10:01:50.972091
r5_1,100542,100542,parcel,17665.860000000022,end,2017-07-26 01:54:25.860,2017-08-29 10:01:50.972091
m3_1,100542,100542,parcel,17723.770000000022,wait,2017-07-26 01:55:23.770,2017-08-29 10:01:50.972091
m3_1,100542,100542,parcel,17723.770000000022,start,2017-07-26 01:55:23.770,2017-08-29 10:01:50.972091
m3_1,100542,100542,parcel,17726.770000000022,end,2017-07-26 01:55:26.770,2017-08-29 10:01:50.972091
j21_1,100542,100542,parcel,17939.810000000023,wait,2017-07-26 01:58:59.810,2017-08-29 10:01:50.972091
j21_1,100542,100542,parcel,17939.810000000023,start,2017-07-26 01:58:59.810,2017-08-29 10:01:50.972091
j21_1,100542,100542,parcel,17944.575000000023,end,2017-07-26 01:59:04.575,2017-08-29 10:01:50.972091
i17_1,100542,100542,parcel,18116.83500000002,wait,2017-07-26 02:01:56.835,2017-08-29 10:01:50.972091
i17_1,100542,100542,parcel,18116.83500000002,start,2017-07-26 02:01:56.835,2017-08-29 10:01:50.972091
i17_1,100542,100542,parcel,18117.15500000002,end,2017-07-26 02:01:57.155,2017-08-29 10:01:50.972091
c17_4,100542,100542,parcel,18231.35500000002,wait,2017-07-26 02:03:51.355,2017-08-29 10:01:50.972091
r5_1,101402,101402,parcel,4113.0,wait,2017-07-25 22:08:33.000,2017-08-29 10:01:50.972091
r5_1,101402,101402,parcel,4113.0,start,2017-07-25 22:08:33.000,2017-08-29 10:01:50.972091
r5_1,101402,101402,parcel,4116.13,end,2017-07-25 22:08:36.130,2017-08-29 10:01:50.972091
m3_1,101402,101402,parcel,4174.04,wait,2017-07-25 22:09:34.040,2017-08-29 10:01:50.972091
m3_1,101402,101402,parcel,4174.04,start,2017-07-25 22:09:34.040,2017-08-29 10:01:50.972091
m3_1,101402,101402,parcel,4177.04,end,2017-07-25 22:09:37.040,2017-08-29 10:01:50.972091
j21_1,101402,101402,parcel,4489.17,wait,2017-07-25 22:14:49.170,2017-08-29 10:01:50.972091
j21_1,101402,101402,parcel,4489.17,start,2017-07-25 22:14:49.170,2017-08-29 10:01:50.972091
j21_1,101402,101402,parcel,4493.935,end,2017-07-25 22:14:53.935,2017-08-29 10:01:50.972091
i17_1,101402,101402,parcel,4666.195000000001,wait,2017-07-25 22:17:46.195,2017-08-29 10:01:50.972091
i17_1,101402,101402,parcel,4666.195000000001,start,2017-07-25 22:17:46.195,2017-08-29 10:01:50.972091
i17_1,101402,101402,parcel,4666.515,end,2017-07-25 22:17:46.515,2017-08-29 10:01:50.972091
c17_5,101402,101402,parcel,4780.715,wait,2017-07-25 22:19:40.715,2017-08-29 10:01:50.972091
r5_1,100243,100243,parcel,11207.0,wait,2017-07-26 00:06:47.000,2017-08-29 10:01:50.972091
r5_1,100243,100243,parcel,11244.55999999999,start,2017-07-26 00:07:24.560,2017-08-29 10:01:50.972091
r5_1,100243,100243,parcel,11247.68999999999,end,2017-07-26 00:07:27.690,2017-08-29 10:01:50.972091
m3_1,100243,100243,parcel,11305.59999999999,wait,2017-07-26 00:08:25.600,2017-08-29 10:01:50.972091
m3_1,100243,100243,parcel,11305.59999999999,start,2017-07-26 00:08:25.600,2017-08-29 10:01:50.972091
m3_1,100243,100243,parcel,11308.59999999999,end,2017-07-26 00:08:28.600,2017-08-29 10:01:50.972091
j19_1,100243,100243,parcel,11620.729999999989,wait,2017-07-26 00:13:40.730,2017-08-29 10:01:50.972091
j19_1,100243,100243,parcel,11620.729999999989,start,2017-07-26 00:13:40.730,2017-08-29 10:01:50.972091
j19_1,100243,100243,parcel,11625.494999999988,end,2017-07-26 00:13:45.495,2017-08-29 10:01:50.972091
i17_1,100243,100243,parcel,11797.754999999988,wait,2017-07-26 00:16:37.755,2017-08-29 10:01:50.972091
i17_1,100243,100243,parcel,11797.754999999988,start,2017-07-26 00:16:37.755,2017-08-29 10:01:50.972091
i17_1,100243,100243,parcel,11798.074999999988,end,2017-07-26 00:16:38.075,2017-08-29 10:01:50.972091
c17_6,100243,100243,parcel,11912.274999999989,wait,2017-07-26 00:18:32.275,2017-08-29 10:01:50.972091
r5_1,100339,100339,parcel,2481.0,wait,2017-07-25 21:41:21.000,2017-08-29 10:01:50.972091
r5_1,100339,100339,parcel,2502.9100000000008,start,2017-07-25 21:41:42.910,2017-08-29 10:01:50.972091
r5_1,100339,100339,parcel,2506.040000000001,end,2017-07-25 21:41:46.040,2017-08-29 10:01:50.972091
m3_1,100339,100339,parcel,2563.9500000000007,wait,2017-07-25 21:42:43.950,2017-08-29 10:01:50.972091
m3_1,100339,100339,parcel,2563.9500000000007,start,2017-07-25 21:42:43.950,2017-08-29 10:01:50.972091
m3_1,100339,100339,parcel,2566.9500000000007,end,2017-07-25 21:42:46.950,2017-08-29 10:01:50.972091
j23_1,100339,100339,parcel,2879.080000000001,wait,2017-07-25 21:47:59.080,2017-08-29 10:01:50.972091
j23_1,100339,100339,parcel,2879.080000000001,start,2017-07-25 21:47:59.080,2017-08-29 10:01:50.972091
j23_1,100339,100339,parcel,2883.8450000000007,end,2017-07-25 21:48:03.845,2017-08-29 10:01:50.972091
i17_1,100339,100339,parcel,3056.1050000000005,wait,2017-07-25 21:50:56.105,2017-08-29 10:01:50.972091
i17_1,100339,100339,parcel,3056.1050000000005,start,2017-07-25 21:50:56.105,2017-08-29 10:01:50.972091
i17_1,100339,100339,parcel,3056.4250000000006,end,2017-07-25 21:50:56.425,2017-08-29 10:01:50.972091
c17_7,100339,100339,parcel,3170.6250000000005,wait,2017-07-25 21:52:50.625,2017-08-29 10:01:50.972091
r5_1,101030,101030,parcel,2481.0,wait,2017-07-25 21:41:21.000,2017-08-29 10:01:50.972091
r5_1,101030,101030,parcel,2527.9500000000016,start,2017-07-25 21:42:07.950,2017-08-29 10:01:50.972091
r5_1,101030,101030,parcel,2531.0800000000017,end,2017-07-25 21:42:11.080,2017-08-29 10:01:50.972091
m3_1,101030,101030,parcel,2588.9900000000016,wait,2017-07-25 21:43:08.990,2017-08-29 10:01:50.972091
m3_1,101030,101030,parcel,2588.9900000000016,start,2017-07-25 21:43:08.990,2017-08-29 10:01:50.972091
m3_1,101030,101030,parcel,2591.9900000000016,end,2017-07-25 21:43:11.990,2017-08-29 10:01:50.972091
j19_1,101030,101030,parcel,2904.1200000000017,wait,2017-07-25 21:48:24.120,2017-08-29 10:01:50.972091
j19_1,101030,101030,parcel,2904.1200000000017,start,2017-07-25 21:48:24.120,2017-08-29 10:01:50.972091
j19_1,101030,101030,parcel,2908.8850000000016,end,2017-07-25 21:48:28.885,2017-08-29 10:01:50.972091
i17_1,101030,101030,parcel,3081.1450000000013,wait,2017-07-25 21:51:21.145,2017-08-29 10:01:50.972091
i17_1,101030,101030,parcel,3081.1450000000013,start,2017-07-25 21:51:21.145,2017-08-29 10:01:50.972091
i17_1,101030,101030,parcel,3081.4650000000015,end,2017-07-25 21:51:21.465,2017-08-29 10:01:50.972091
c17_7,101030,101030,parcel,3195.6650000000013,wait,2017-07-25 21:53:15.665,2017-08-29 10:01:50.972091
