equipment_id,truck_id,truck_type,time_stamp,action,store_size,real_time_stamp,run_time
r5_1,338710592020,LL,6067.0,start,1,2017-07-25 22:41:07.000,2017-08-29 10:01:50.972091
r5_1,338710592020,LL,6070.13,end,1,2017-07-25 22:41:10.130,2017-08-29 10:01:50.972091
truck,338951342355,LA,6240.0,wait,12,2017-07-25 22:44:00.000,2017-08-29 10:01:50.972091
r4_1,338951342355,LA,6240.0,start,12,2017-07-25 22:44:00.000,2017-08-29 10:01:50.972091
r4_1,338951342355,LA,6258.780000000001,end,12,2017-07-25 22:44:18.780,2017-08-29 10:01:50.972091
truck,336994000519,LL,6436.0,wait,1,2017-07-25 22:47:16.000,2017-08-29 10:01:50.972091
r1_2,336994000519,LL,6436.0,start,1,2017-07-25 22:47:16.000,2017-08-29 10:01:50.972091
r1_2,336994000519,LL,6439.68,end,1,2017-07-25 22:47:19.680,2017-08-29 10:01:50.972091
truck,334460724791,LA,6486.0,wait,1,2017-07-25 22:48:06.000,2017-08-29 10:01:50.972091
r3_1,334460724791,LA,6486.0,start,1,2017-07-25 22:48:06.000,2017-08-29 10:01:50.972091
r3_1,334460724791,LA,6489.13,end,1,2017-07-25 22:48:09.130,2017-08-29 10:01:50.972091
truck,336992455361,LL,6584.0,wait,1,2017-07-25 22:49:44.000,2017-08-29 10:01:50.972091
r5_1,336992455361,LL,6584.0,start,1,2017-07-25 22:49:44.000,2017-08-29 10:01:50.972091
r5_1,336992455361,LL,6587.13,end,1,2017-07-25 22:49:47.130,2017-08-29 10:01:50.972091
truck,338731810078,LA,6614.0,wait,1,2017-07-25 22:50:14.000,2017-08-29 10:01:50.972091
r4_1,338731810078,LA,6614.0,start,1,2017-07-25 22:50:14.000,2017-08-29 10:01:50.972091
r4_1,338731810078,LA,6617.13,end,1,2017-07-25 22:50:17.130,2017-08-29 10:01:50.972091
truck,339706808770,LA,6886.0,wait,6,2017-07-25 22:54:46.000,2017-08-29 10:01:50.972091
r3_1,339706808770,LA,6886.0,start,6,2017-07-25 22:54:46.000,2017-08-29 10:01:50.972091
r3_1,339706808770,LA,6895.39,end,6,2017-07-25 22:54:55.390,2017-08-29 10:01:50.972091
truck,339101796984,LA,7006.0,wait,1,2017-07-25 22:56:46.000,2017-08-29 10:01:50.972091
r5_1,339101796984,LA,7006.0,start,1,2017-07-25 22:56:46.000,2017-08-29 10:01:50.972091
r5_1,339101796984,LA,7009.13,end,1,2017-07-25 22:56:49.130,2017-08-29 10:01:50.972091
truck,336992703651,LA,7164.0,wait,2,2017-07-25 22:59:24.000,2017-08-29 10:01:50.972091
r4_1,336992703651,LA,7164.0,start,2,2017-07-25 22:59:24.000,2017-08-29 10:01:50.972091
r4_1,336992703651,LA,7167.13,end,2,2017-07-25 22:59:27.130,2017-08-29 10:01:50.972091
truck,338087740377,LL,7347.000000000001,wait,2,2017-07-25 23:02:27.000,2017-08-29 10:01:50.972091
r1_2,338087740377,LL,7347.000000000001,start,2,2017-07-25 23:02:27.000,2017-08-29 10:01:50.972091
r1_2,338087740377,LL,7350.680000000001,end,2,2017-07-25 23:02:30.680,2017-08-29 10:01:50.972091
truck,338863772614,LA,7592.000000000001,wait,1,2017-07-25 23:06:32.000,2017-08-29 10:01:50.972091
r3_1,338863772614,LA,7592.000000000001,start,1,2017-07-25 23:06:32.000,2017-08-29 10:01:50.972091
r3_1,338863772614,LA,7595.130000000001,end,1,2017-07-25 23:06:35.130,2017-08-29 10:01:50.972091
truck,334587700126,LA,7781.000000000001,wait,12,2017-07-25 23:09:41.000,2017-08-29 10:01:50.972091
r5_1,334587700126,LA,7781.000000000001,start,12,2017-07-25 23:09:41.000,2017-08-29 10:01:50.972091
