parcel_id,small_id,parcel_type,start_node,ident_des_zno,sorter_type,dest_type,ret_path,run_time
100878,100878,parcel,j21_1,871,reload,A,j21_1:i17_1:c18_23,2017-08-29 10:01:50.972091
101257,101257,parcel,r5_1,871,reload,A,r5_1:m3_1:j15_1:i22_3:c18_21,2017-08-29 10:01:50.972091
101257,101257,parcel,j21_1,871,reload,A,j21_1:i17_1:c18_23,2017-08-29 10:01:50.972091
100334,100334,parcel,r5_1,879,reload,A,r5_1:m3_1:j15_1:i22_3:c18_27,2017-08-29 10:01:50.972091
100334,100334,parcel,j21_1,879,reload,A,j21_1:i17_1:c18_27,2017-08-29 10:01:50.972091
100594,100594,parcel,r5_1,024,reload,A,r5_1:m3_1:j17_1:i22_3:c18_2,2017-08-29 10:01:50.972091
100594,100594,parcel,j19_1,024,reload,A,j19_1:i17_1:c18_9,2017-08-29 10:01:50.972091
100595,100595,parcel,r5_1,024,reload,A,r5_1:m3_1:j15_1:i22_3:c18_2,2017-08-29 10:01:50.972091
100595,100595,parcel,j21_1,024,reload,A,j21_1:i17_1:c18_9,2017-08-29 10:01:50.972091
980000000132,716269,small,c5_22,851,small_sort,A,c5_22:j41_1:i24_1:i23_2:c18_20,2017-08-29 10:01:50.972091
980000000132,716269,small,j41_1,851,small_sort,A,j41_1:i17_4:c16_18,2017-08-29 10:01:50.972091
980000000007,685048,small,c5_42,351,small_sort,A,c5_42:j41_1:i17_4:c17_3,2017-08-29 10:01:50.972091
980000000007,685048,small,j41_1,351,small_sort,A,j41_1:i17_4:c16_2,2017-08-29 10:01:50.972091
980000000104,736157,small,c5_23,858,small_sort,A,c5_23:j41_1:i24_1:i23_1:c16_20,2017-08-29 10:01:50.972091
980000000104,736157,small,j41_1,858,small_sort,A,j41_1:i17_4:c16_20,2017-08-29 10:01:50.972091
980000000031,662337,small,c6_72,532,small_sort,A,c6_72:j41_1:i24_1:i23_2:c16_21,2017-08-29 10:01:50.972091
980000000031,662337,small,j41_1,532,small_sort,A,j41_1:i17_4:c16_21,2017-08-29 10:01:50.972091
980000000202,662003,small,c5_97,535,small_sort,A,c5_97:j41_1:i24_1:i23_1:c16_23,2017-08-29 10:01:50.972091
980000000202,662003,small,j41_1,535,small_sort,A,j41_1:i17_4:c16_23,2017-08-29 10:01:50.972091
980000000090,664051,small,c6_96,631,small_sort,A,c6_96:j41_1:i17_4:e3_1:h3_1:x11_1:i18_1:c16_25,2017-08-29 10:01:50.972091
980000000090,664051,small,j41_1,631,small_sort,A,j41_1:i17_4:c16_25,2017-08-29 10:01:50.972091
980000000138,716268,small,c5_75,533,small_sort,A,c5_75:j41_1:i17_4:c17_22,2017-08-29 10:01:50.972091
