equipment_id,package_id,time_stamp,action
4,386453,467.86999999999995,wait
r2_1,384308,0.0,wait
r2_1,384308,0.0,start
r2_1,384308,4.8,end
m1_2,384308,47.059999999999995,wait
m1_2,384308,50.059999999999995,start
m1_2,384308,53.059999999999995,end
i7_3,384308,95.32,wait
m1_2,384308,99.25999999999999,start
m1_2,384308,102.25999999999999,end
i6_1,384308,239.14999999999998,wait
c4_2,384308,446.75,wait
i6_1,384308,446.75,wait
i6_1,384308,446.75,start
i6_1,384308,473.59,end
4,384308,473.59,wait
r2_1,384389,0.0,wait
r2_1,384389,14.399999999999999,start
r2_1,384389,19.2,end
m1_2,384389,61.459999999999994,wait
m1_2,384389,61.459999999999994,start
m1_2,384389,64.46,end
i7_3,384389,106.72,wait
m1_2,384389,114.25999999999999,start
m1_2,384389,117.25999999999999,end
i6_1,384389,254.14999999999998,wait
c4_2,384389,461.75,wait
i6_1,384389,461.75,wait
i6_1,384389,461.75,start
i6_1,384389,488.59,end
4,384389,488.59,wait
r2_1,386230,0.0,wait
r2_1,386230,81.59999999999998,start
r2_1,386230,86.39999999999998,end
m1_2,386230,128.65999999999997,wait
m1_2,386230,141.26,start
m1_2,386230,144.26,end
i7_3,386230,186.51999999999998,wait
m1_2,386230,207.26,start
m1_2,386230,210.26,end
i6_1,386230,347.15,wait
c4_2,386230,554.75,wait
i6_1,386230,554.75,wait
i6_1,386230,554.75,start
i6_1,386230,581.59,end
4,386230,581.59,wait
r3_4,387187,0.0,wait
r3_4,387187,0.0,start
r3_4,387187,4.8,end
m2_3,387187,62.709999999999994,wait
m2_3,387187,62.709999999999994,start
m2_3,387187,65.71,end
i7_2,387187,123.61999999999999,wait
m2_3,387187,123.61999999999999,start
m2_3,387187,126.61999999999999,end
i6_1,387187,359.46999999999997,wait
c4_2,387187,567.0699999999999,wait
i6_1,387187,567.0699999999999,wait
i6_1,387187,567.0699999999999,start
i6_1,387187,593.91,end
4,387187,593.91,wait
r2_1,387754,0.0,wait
r2_1,387754,105.59999999999997,start
r2_1,387754,110.39999999999996,end
m1_2,387754,152.65999999999997,wait
m1_2,387754,168.26,start
m1_2,387754,171.26,end
i7_3,387754,213.51999999999998,wait
m1_2,387754,237.26,start
m1_2,387754,240.26,end
i6_2,387754,377.15,wait
c4_2,387754,584.75,wait
i6_2,387754,584.75,wait
i6_2,387754,584.75,start
i6_2,387754,611.59,end
4,387754,611.59,wait
r2_1,392629,0.0,wait
r2_1,392629,148.8,start
r2_1,392629,153.60000000000002,end
m1_2,392629,195.86,wait
m1_2,392629,216.26,start
m1_2,392629,219.26,end
i7_3,392629,261.52,wait
m1_2,392629,264.26,start
m1_2,392629,267.26,end
i6_2,392629,404.15,wait
c4_2,392629,611.75,wait
i6_2,392629,611.75,wait
i6_2,392629,611.75,start
i6_2,392629,638.59,end
4,392629,638.59,wait
r3_8,389457,0.0,wait
r3_8,389457,105.59999999999997,start
r3_8,389457,110.39999999999996,end
m2_7,389457,168.30999999999995,wait
m2_7,389457,183.62,start
m2_7,389457,186.62,end
i7_2,389457,244.53,wait
m2_7,389457,252.62,start
m2_7,389457,255.62,end
i6_1,389457,488.47,wait
c4_2,389457,696.07,wait
